clipDocId,title,vendor,houzzId,sku,source,beforeRoom,afterRoom,beforeCategory,beforeClientPrice,afterClientPrice,action,reason
cXQxfoqyS3SfqGEgpEu6,Leather strapped double sconce,Elu,,,houzz-import,Hall L2,Hall L2,,,,review-empty-category,review-empty-category
cZ6WandTPwKVIQUkM4YC,Danbury Hanging Pendant Large,Remains Lighting Company,,,houzz-import,Butler Pantry,Butler Pantry,,$2510.00,2510,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
candle-cup-and-long-decorative-stem-pl,"candle cup and long, decorative stem. Place this elegant sconce",,,,houzz-import,,,,,,review-empty-category,review-empty-category
cannes-pendant,Cannes Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
carson-rod-pendant-12-width,"Carson Rod Pendant, 12"" Width",,,,houzz-import,,,,,,review-empty-category,review-empty-category
carson-sconce-12-width,"Carson Sconce, 12"" Width",,,,houzz-import,,,,,,review-empty-category,review-empty-category
chainmail-pendant,Chainmail Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
characterized-by-clean-lines-and-crisp-a,"Characterized by clean lines and crisp angles, our sconce from",,,,houzz-import,,,,,,review-empty-category,review-empty-category
cmiDvQVZs7eEYhEFunAs,Flea Market Lantern,Visual Comfort,,SK 2301AZ,houzz-import,Hall L2,Hall L2,,$3785.94,3785.94,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
consessions-visual-comfort,Consessions,Visual Comfort,,RL 5060BZ-WG,houzz-import,,,,,,review-empty-category,review-empty-category
cord-cover-included-requires-smaller-o-visual-comfort,Cord Cover Included | Requires Smaller Outlet Box,Visual Comfort,,PT 2000BZ-S,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
crafted-of-open-weave-burlap-over-coordi,Crafted of open-weave burlap over coordinating fabric and a,,,,houzz-import,,,,,,review-empty-category,review-empty-category
custom-built-to-order-this-oak-farm-ta-1st-dibs,"Custom built to order.. This oak farm table is seen here in 132"" x",1st Dibs,,,houzz-import,Dining Room,Dining Room,,,,review-empty-category,review-empty-category
d6sVqRDayRwhxaoL11fH,Hudson Swing Arm,Circa Lighting ,,,houzz-import,MBR & Bath,MBR & Bath,,$809.19,809.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
dUGmbzNHIcRIP83iGmN3,Bryant Sconce,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$484.38,484.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
denim-black-drum-pendant,Denim Black drum Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
dfbqG3cBehKMNusFwh9V,Leather wall Sconce,Elu,,,houzz-import,Hall L2,Hall L2,,,,review-empty-category,review-empty-category
dhoUAw6Sd0fMqViNn5Gw,Alouette Chandelier,Arteriors,,,houzz-import,Dining Room,Dining Room,,$27135.00,27135,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
double-chandelier,Double Chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
double-sconce,Double sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
double-sconce-bronze-finish,"Double sconce, Bronze finish",,,,houzz-import,,,,,,review-empty-category,review-empty-category
dresser-long-glass-rod-light,Dresser Long Glass Rod Light,,,,houzz-import,,,,,,review-empty-category,review-empty-category
drum-pendant,Drum Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
echo-sconce,Echo Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
elkins-double-sconce,Elkins Double Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
eloise-ceramic-pendant,Eloise Ceramic Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
eloise-ceramic-sconce,Eloise Ceramic Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
elsa-farm-table-in-white-oak-built-to-o,"Elsa Farm Table in White Oak, Built to Order by Petersen",,,,houzz-import,,,,,,review-empty-category,review-empty-category
eoG4ivM9yoYt0Uk8latT,Avalon Gooseneck,Barn Electric,,,houzz-import,Powder 2,Powder 2,,$564.30,564.3,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
ethos-large-led-sconce,Ethos Large LED Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
exterior-spj-lighting-inc,Exterior,SPJ Lighting Inc.,,SPJ-MSL2-12,houzz-import,,,,,,review-empty-category,review-empty-category
fX9DlplEaq1XfD91R26B,Tapered Vintage Lantern,Elu,,,houzz-import,Kitchen,Kitchen,,$7150.00,7150,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
fink-pendant,Fink Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
fisher-sconce-single,Fisher Sconce Single,,,,houzz-import,,,,,,review-empty-category,review-empty-category
fjbAePKwdjLOZmUuiQkG,Klara Coffee Table made from Reclaimed Pine,1st Dibs,,,houzz-import,Great Room,Great Room,,$9000.00,9000,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
fo6wuIixzp5l6BqPd6nX,Sonoma Storage Cabinet w/ Baskets,Bramble,,26911,houzz-import,Craft Room,Craft Room,,$3098.25,3098.25,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
folio-rl-fabric-maintenance,Folio RL fabric maintenance,,,,houzz-import,,,,,,review-empty-category,review-empty-category
forge,Forge,,,Base Item #303003,houzz-import,,,,,,review-empty-category,review-empty-category
frink-style-mirrored-reflector-footlight,Frink Style Mirrored Reflector Footlight Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
fvHjX5pvOCUJqJBbQR5P,04135 Navy,Trend,,,houzz-import,Guest 2,Guest 2,,$72.22,72.22,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
gEvSAj565FJKcaAsKUlI,NEVA,SixPenny,,,houzz-import,Game room,Game room,,$4299.00,4299,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
gOIWS3Ju1pIQ4CJpb89j,New York,Concretti,,,houzz-import,Powder 3,Powder 3,,$619.99,619.99,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
game-room-somerset-bay,Game room,Somerset Bay,,SB110,houzz-import,,,,,,review-empty-category,review-empty-category
game-room-visual-comfort,Game room,Visual Comfort,,TOB 2023HAB/BZ,houzz-import,,,,,,review-empty-category,review-empty-category
glass-and-the-crown-is-antiqued-brass-an-early-electrics,glass and the crown is antiqued brass and steel.,Early Electrics,,883847524562,houzz-import,Powder 3,Powder 3,,,,review-empty-category,review-empty-category
grain-drum-sconce,Grain Drum Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
hK3IULBRSDsEW2FfcFW5,Standen Stripe Linen,no vendor,,FRL5233-01S,houzz-import,Fabrics,Fabrics,,,,review-empty-category,review-empty-category
hUUU6AJHLv6OFlhLanqf,"Touro Smart 60"" LED Ceiling Fan",Visual Comfort,,3TOSM60BBSD,houzz-import,MBR & Bath,MBR & Bath,,$569.50,569.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
hall-l2-visual-comfort,Hall L2,Visual Comfort,,SK 2301AZ,houzz-import,,,,,,review-empty-category,review-empty-category
hardware,Hardware,,,,houzz-import,,,,,,review-empty-category,review-empty-category
hardware-the-glass-is-a-nice-frosted-an,hardware. The glass is a nice frosted and ribbed glass dome. Our,,,,houzz-import,,,,,,review-empty-category,review-empty-category
hazel-sconce,Hazel Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
henry-large-glass-shade-sconce,Henry Large Glass Shade Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
hexagon-lantern-elu,Hexagon Lantern,Elu,,,houzz-import,Entry,Entry,,,,review-empty-category,review-empty-category
hgwqB3oxgWWCiBeKbvMw,5313 DRINA-THUNDER,Pindler & Pindler,,,houzz-import,Great Room,Great Room,,$74.18,74.18,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
hoFiQoaAq8OcRdFp3Uqn,CLOVER HANG,Urban Electric,,,houzz-import,Guest 2,Guest 2,,$7436.25,7436.25,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
iIHWYShSuV1qiKsPWhHH,Falmouth Chest,Somerset Bay,,SB012,houzz-import,Guest 2,Guest 2,,$3547.80,3547.8,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
iTGqIj3cdJFBfl0bX50O,Garden Stripe,Zimmer & Rhodes,,,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
in-a-powder-room-entryway-or-on-either,"in a powder room, entryway, or on either side of a bed for gentle,",,,,houzz-import,,,,,,review-empty-category,review-empty-category
iyGsGbqw4ZxoWhKcC4m4,DOUBLEBROOK PLAID Midnight RALPH LAUREN,Designers Guild (USA) Inc.,,FRL5242,houzz-import,,,,,,review-empty-category,review-empty-category
iyRPuJqBbbbw0885UgZV,The Z5 Black Bamboo CC Pendant,Global LIghting,,905-101-1-CC,houzz-import,Guest 4,Guest 4,,$808.50,808.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
jonah-alabaster-sconce,Jonah Alabaster Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
kennebunkport-cocktail-table,Kennebunkport Cocktail Table,,,,houzz-import,,,,,,review-empty-category,review-empty-category
klara-coffee-table-made-from-reclaimed-p,Klara Coffee Table made from Reclaimed Pine,,,,houzz-import,,,,,,review-empty-category,review-empty-category
lOmoDS08BBGmtwcKMAOm,Summit Sconce,Hubbardton Forge,,Base Item #202045,houzz-import,Hall,Hall,,$4738.80,4738.8,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
lW9cOtC4cq47BtvWp7w4,ANTIQUE INSPIRED 30″ HIGH BACK FARM SINK CAST IRON,Watermark Fixtures,,,houzz-import,Pool Bath,Pool Bath,,$2500.00,2500,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
lack-forest-ebony-vanilla-bean-somerset-bay,"lack Forest, Ebony, Vanilla Bean",Somerset Bay,,SB061-B,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
lamp-source-incandescent,Lamp Source: Incandescent,,,,houzz-import,,,,,,review-empty-category,review-empty-category
laramie-stem-pendant-light,LARAMIE STEM PENDANT LIGHT,,,,houzz-import,,,,,,review-empty-category,review-empty-category
large-rec-glass-lantern-sconce,Large Rec Glass Lantern sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
leather-strapped-double-sconce,Leather strapped double sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
leather-strapped-drum-chandelier,Leather strapped drum chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
leather-strapped-single-sconce,Leather strapped Single sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
leather-wall-sconce,Leather wall Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
locations-and-intended-for-interior-use-arteriors,locations and intended for interior use.,Arteriors,,44753,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
looked-for-tile-rolling-hills-and-soco,"looked for tile, rolling hills and soco",,,,houzz-import,,,,,,review-empty-category,review-empty-category
m-tier-sconce,MÉTIER SCONCE,,,,houzz-import,,,,,,review-empty-category,review-empty-category
mDnwJNRr0fQ1p8NsDaC7,HIGHLAND CHECK - INDIGO,KRAVET,,FD314.H10.0,houzz-import,Guest 4,Guest 4,,$312.86,312.86,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
mVi0FxaKNxMKFhUOARXA,"38"" SInk & SPlash",Soapstone Sinks,,,houzz-import,Butler Pantry,Butler Pantry,,$2084.50,2084.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
machine-inspired-sconce-with-high-functi,machine-inspired sconce with high functionality. Featuring a,,,,houzz-import,,,,,,review-empty-category,review-empty-category
made-solid-brass-ceiling-lamp-suitable-f,"made solid brass ceiling lamp suitable for interior or in a porch,",,,,houzz-import,,,,,,review-empty-category,review-empty-category
massive-vintage-oak-farm-table-custom-m,"Massive Vintage Oak Farm Table, Custom Made by Petersen",,,,houzz-import,,,,,,review-empty-category,review-empty-category
master-bath-tub-locations-slab-tile,Master bath tub locations & slab & tile materials for,,,,houzz-import,,,,,,review-empty-category,review-empty-category
material-samples-flooring-tile,Material samples/Flooring/Tile,,,,houzz-import,,,,,,review-empty-category,review-empty-category
mbr-bath-arteriors,MBR & Bath,Arteriors,,DK42043,houzz-import,,,,,,review-empty-category,review-empty-category
metalwork-adds-a-stylish-quality-to-a-th,metalwork adds a stylish quality to a thoroughly modern sconce.,,,,houzz-import,,,,,,review-empty-category,review-empty-category
milk-glass-bath-sconce,Milk Glass Bath Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
mini-drum-pendant,Mini Drum Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
mission-tile-west-tile-inspirations,Mission Tile West / Tile inspirations,,,,houzz-import,,,,,,review-empty-category,review-empty-category
moP6rK6H4x8wvVsYB3jV,Bowery,Hudson Valley Lighting,,3722-AOB,houzz-import,Powder 1,Powder 1,,$1663.20,1663.2,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
n7tZ82CLVmwYRdLXDC8x,Saratoga Small Pendant,Hubbardton Forge,,Base Item #104070,houzz-import,Hall L2,Hall L2,,$4481.40,4481.4,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
nG7P1hkeyhfBubDxxUh0,Salon Sconce Large,Regina Andrews,,Item: 15-1188ORB,houzz-import,Guest 3,Guest 3,,$597.38,597.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
nYKxEOVBgJmZY63ZZoA7,Country I Pendant,Il Fanale,,,houzz-import,Butler Pantry,Butler Pantry,,$2970.00,2970,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
new-town-sconce,New Town Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
nkgSUgXd8cDcObQnHBpm,Grain Drum Sconce,Ravenhill Studio,,,houzz-import,MBR & Bath,MBR & Bath,,$3280.00,3280,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
nnzyCE3HgShIespkp9y8,Mini Drum Pendant,Elu,,,houzz-import,Hall L2,Hall L2,,,,review-empty-category,review-empty-category
nx6Tth76sQWta7PKeW2v,Classic Collection CL758C Runner,Safavieh,,CL758C,houzz-import,,,,,,review-empty-category,review-empty-category
nzz5Vd5m18FSz3EQ4n0R,5313 Drina Dusk,Pindler & Pindler,,,houzz-import,Guest 2,Guest 2,,$74.18,74.18,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
o2QwTbU3yUfpJSYIbEyd,Modern Small Lantern,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$2030.44,2030.44,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
oIVJS45KZ8sb3sJ7oBai,La Jolla Stripe 05,Fabricut,,,houzz-import,Guest 2,Guest 2,,$61.43,61.43,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
of-a-kind-sconce-will-create-a-diffused,of-a-kind sconce will create a diffused glow in a hallway or,,,,houzz-import,,,,,,review-empty-category,review-empty-category
ondrian-2-light-sconce-hubbardton,Ondrian 2 Light Sconce,Hubbardton,,,houzz-import,Powder 3,Powder 3,,,,review-empty-category,review-empty-category
over-a-powder-room-mirror-finish-will-v,over a powder room mirror. Finish will vary. Certified for damp,,,,houzz-import,,,,,,review-empty-category,review-empty-category
pRNEuMySs4roSb1VipFs,CAMPION,Urban Electric,,,houzz-import,Wine Cellar,Wine Cellar,,$9366.30,9366.3,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
pgsXSsb9BE3S10i1G9sU,Vela Sconce,Hubbardton Forge,,Base Item #203330,houzz-import,Guest 3,Guest 3,,$787.60,787.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
piaf-large-tail-sconce,Piaf Large Tail Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
piatto-medium-pendant,Piatto Medium Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
plumbing,plumbing,,,,houzz-import,,,,15647.39,15647.39,review-empty-category,review-empty-category
polished-but-never-pretentious-the-bras,"Polished but never pretentious, the brass Mac pendant has",,,,houzz-import,,,,,,review-empty-category,review-empty-category
product-name-z5-black-bamboo-cc-pendant,Product Name Z5 Black Bamboo CC Pendant Manufacturer Ay,,,,houzz-import,,,,,,review-empty-category,review-empty-category
proportions-are-perfectly-balanced-a-fa,proportions are perfectly balanced. A fabric shade delicately,,,,houzz-import,,,,,,review-empty-category,review-empty-category
qKny00wjql78pqYQuvWQ,HOUE,Urban Electric,,,houzz-import,Hall,Hall,,$3315.60,3315.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
qgbqc3sBjT4EVgMkcuCo,7334 DELUXE-TUSK,Pindler & Pindler,,,houzz-import,Kitchen,Kitchen,,$174.35,174.35,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
qzKrVn1EzNP0xzwhqLdF,CHAMPEAUX PIVOTING FLUSHMOUNT,Restoration Hardware,,,houzz-import,Wine Cellar,Wine Cellar,,$2160.00,2160,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
r0EtotbZ6PVGxRR51Iih,Bouy Glass Pendant,Elu,,,houzz-import,Hall L2,Hall L2,,,,review-empty-category,review-empty-category
rUhBDUMs7Y4MTybmUZXL,Saratoga Sconce,Hubbardton Forge,,Base Item #204070,houzz-import,Hall L2,Hall L2,,$3775.20,3775.2,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
rdDIqG5Mq8RxvdMqHVbN,ARIA Grande Ottoman,SixPenny,,,houzz-import,Game room,Game room,,$1099.00,1099,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
reed-double-sconce,Reed Double Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
riley-large-ring-chandelier,Riley Large Ring Chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
riley-medium-ring-chandelier,Riley Medium Ring Chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
rl-67-boom-arm-wall-lamp,RL 67 Boom Arm Wall Lamp,,,,houzz-import,,,,,,review-empty-category,review-empty-category
robertson-single-tier-chandelier,Robertson Single Tier Chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
santori-cabinet-questions,Santori cabinet questions,,,,houzz-import,,,,,,review-empty-category,review-empty-category
saratoga-sconce,Saratoga Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
saratoga-small-pendant,Saratoga Small Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
schumacher-fabric-added-to-project,Schumacher fabric added to Project,,,,houzz-import,,,,,,review-empty-category,review-empty-category
sconce-with-a-serene-alabaster-dome-bac,Sconce. With a serene alabaster dome backplate finished in gold,,,,houzz-import,,,,,,review-empty-category,review-empty-category
selecta-long-sconce,Selecta Long Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
shade-details-6-x-10-x-7-circa-lighting,"Shade Details: 6"" x 10"" x 7""",Circa Lighting,,CHD5102,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
sink-faucet-drain-watermark,"Sink, faucet, drain",Watermark,,,houzz-import,Pool Bath,Pool Bath,,,,review-empty-category,review-empty-category
stairs-original-btc,Stairs,Original BTC,,US-,houzz-import,,,,,,review-empty-category,review-empty-category
stairs-regina-andrews,Stairs,Regina Andrews,,Item: 16-1132BI,houzz-import,,,,,,review-empty-category,review-empty-category
styles-such-as-a-coastal-bungalow-to-a-m-regina-andrews,styles such as a coastal bungalow to a modern farmhouse abode.,Regina Andrews,,Item: 15-1124WT,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
summit-sconce,Summit Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
sweep-medium-left-articulating-sconce,Sweep Medium Left Articulating Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
tMfIw0kaXtZ5NbUbvWuK,LOU LOU WALL,Urban Electric,,,houzz-import,Butler Pantry,Butler Pantry,,$4245.00,4245,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
tTnNlMnJG2Bn8XtbqDCY,Sweep Medium Left Articulating Sconce,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$1294.38,1294.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
taXoeHnpQPL8SjA0HCOi,Cosette Mirror With Shelf,Pottery Barn,,,houzz-import,Mudroom,Mudroom,,$268.65,268.65,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
the-jonah-alabaster-sconce-provides-a-wa,The Jonah alabaster sconce provides a warm sophisticated glow,,,,houzz-import,,,,,,review-empty-category,review-empty-category
the-original-stem-pendant-light,THE ORIGINAL™ STEM PENDANT LIGHT,,,,houzz-import,,,,,,review-empty-category,review-empty-category
this-coffee-table-is-seen-here-in-50-x-5,"This coffee table is seen here in 50""x 56"" x 17"" however it can be",,,,houzz-import,,,,,,review-empty-category,review-empty-category
this-coffee-table-is-seen-here-in-62-x,"This coffee table is seen here in 62″ x 48″, but can be ordered",,,,houzz-import,,,,,,review-empty-category,review-empty-category
vPq1rD2NwACvvkmCPjBQ,Corsica mid-weight linen fabric,Libeco,,,houzz-import,Guest 4,Guest 4,,$145.40,145.4,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
vYaYW9bkBrW34LWvdYTM,Robertson Linear Chandelier,Visual Comfort,,RL 5545NR,houzz-import,Dining Room,Dining Room,,$2807.12,2807.12,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
vela-sconce,Vela Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
victoria-solid-brass-1-light-ceiling-lam,Victoria Solid Brass 1 Light Ceiling Lamp.† A traditional hand-,,,,houzz-import,,,,,,review-empty-category,review-empty-category
victoria-solid-brass-1-light-pendant,Victoria Solid Brass 1 Light Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
vintage-oak-trestle-table-nicely-distre,Vintage oak trestle table. Nicely distressed with lots of,,,,houzz-import,,,,,,review-empty-category,review-empty-category
vlQimaZH2cvIxyCmxCwy,Holborn Small Lantern,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$1133.19,1133.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
w8HjySTaCeJKaqBvzFX2,Victoria Solid Brass 1 Light Pendant,Richard Hathaway Lighting,,,houzz-import,Powder 2,Powder 2,,$318.00,318,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
wToWUs6Xjc4NlgZ72mPq,Demi John Pendant Small,Regina Andrews,,,houzz-import,Butler Pantry,Butler Pantry,,$164.00,164,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
walker-swing-arm-sconce,Walker Swing Arm Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
walls-floor-ceilings-deign-boards-plum,"Walls,Floor, Ceilings DEign Boards, Plumbing and Tile",,,,houzz-import,,,,,,review-empty-category,review-empty-category
webbed-hexagon-prismatic-sconce,Webbed Hexagon Prismatic Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
weight-39-lbs-visual-comfort,Weight: 39 lbs.,Visual Comfort,,RL 5612NB/NVY-L,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
weight-9-lbs-visual-comfort,Weight: 9 lbs.,Visual Comfort,,TOB 2141HAB-FG,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
workout-visual-comfort,Workout,Visual Comfort,,MGMR52MBKMBK,houzz-import,,,,,,review-empty-category,review-empty-category
x537hSbamiw12lJeXY3Y,Total Performance Round Rug 8',Safavieh,, TLP722A ,houzz-import,,,,,,review-empty-category,review-empty-category
x547sELIKIRVglmzg60F,Linear chandelier,Elu,,,houzz-import,Dining Room,Dining Room,,$7260.00,7260,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
x84MX4md5F6ppTOPrBWM,Cawdor Stanchion Wall Light,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$970.38,970.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
y89NY7go3mk0KI0LdHkt,Dune Stripe,Schumacher,,73290,houzz-import,Great Room,Great Room,,$159.30,159.3,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
yB9EX0RClzHGzb4noV8V,Darya Swan Neck Wall Sconce,Etsy,,,houzz-import,Mudroom,Mudroom,,$843.44,843.44,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
yIzpfwL0DzHKS47RqJJR,Mast Light,Original BTC,,US-DP0749/GM/PO,houzz-import,Stairs,Stairs,,$4823.10,4823.1,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
ySdK4F6rJDuTphrdKV7U,"Petrel 18"" Picture Light",Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$1294.38,1294.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
ySogpfaGCNfyVtZmE7uc,Cortland,Hudson Valley Lighting,,211-AGB,houzz-import,Guest 4,Guest 4,,$1255.80,1255.8,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
yT9z5MaHJ8n53T2K7roi,CLASSIC MIRROR CHANDELIER,RTO  Lighting,,,houzz-import,Bar,Bar,,$5387.50,5387.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
ypM9DcuoQYRbbWgfb6PZ,Gloucester Chest,Somerset Bay,,SB103,houzz-import,Guest 3,Guest 3,,$3480.97,3480.97,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
zvuV1aICwLcdY4P0YLMM,ORLANDO STRIPE,Martyn Lawrence Bullard,,,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
